name_a,name_b
J3, Joint Operations Directorate
J4, Joint Logistics Directorate
J5, Joint Strategic Plans & Policy Directorate
J6," Joint Information Technology Directorate (Command, Control, Communications & Computer Systems)"
J7, Joint Operational Plans & Interoperability Directorate
J8," Joint Force Structure, Resources, & Assessment Directorate"
J9, Joint Public Affairs Directorate (Civilian-Military Cooperation)
ja, Japanese language (ISO 639-1 code)
JA, Japan (FIPS 10-4 country code)
JAFT, Just A Field Test
JAG, Judge Advocate General Corps (military law)
JAL, Japan Airlines
JALLC, Joint Analysis and Lessons Learned Centre (NATO)
JAM, Jamaica (ISO 3166 trigram)
JAMA, Journal of the American Medical Association
JANET, Joint Academic Network
JANUS, Joint Academic Network Using Satellites (UK) - Joint Army Navy Uniform Simulation -  Joint Army-Navy Staff - Just ANother Useless Simulation (Note: The U.S. Army Janus simulation is not an acronym)
JATO, Jet-Assisted Take-Off
jav, Javanese language (ISO 639-2 code)
JB, Junior Branch
JB, Jail Bait
JBFSA, Joint Blue Force Situational Awareness
JCATS," Joint Conflict And Tactical Simulation (""djay-catts"")"
JCDB, Joint Common Data Base
JCDS, Joint Chiefs of the Defence Staff
JCIDS, Joint Capabilities Integration and Development System
JCIET, Joint Combat Identification Evaluation Team
JCL, Job Control Language
JCMOTF, Joint Civil-Military Operations Task Force
JCP, Java Community Process
JCPM, Java Child Process Manager - Jesus Christ Prison Ministry
JCS, Joint Chiefs of Staff
JCW, Juggalo Championship Wrestling
JDAM,"(a/i) Joint Direct Attack Munition (""djay-dam"")"
JDBC, Java Data Base Connectivity
JDCC," UK Joint Doctrine and Concepts Centre, now the Development, Concepts, and Doctrine Centre, DCDC"
JDEM, Joint Dark Energy Mission
JDK, Java Development Kit
JDL, Jewish Defense League
JE, Jersey (FIPS 10-4 territory code)
JEDP," Jahwist, Elohist, Deuteronomist, Priestly (according to the documentary hypothesis, the sources of the Torah)"
JEE," Java Platform, Enterprise ion"
JEFX, Joint Expeditionary Force eXperiment
JET, Joint European Torus
JEZ, Joint Engagement Zone
JFACC, Joint Force Air Component Commander
JFACTSU, U.S. Joint Forward Air Control Training and Standards Unit
JFC, Joint Force Commander
JFCOM," U.S. Joint Forces Command (""jiff-comm"")"
JFET,"(i/a) Junction Field-Effect Transistor (""jay-fett"")"
JFK, John Fitzgerald Kennedy or the airport named after him.
JFLCC, Joint Force Land Component Commander
JFMCC, Joint Force Maritime Component Commander
JFO, Journal of Field Ornithology
JFSOCC, Joint Force Special Operations Component Commander
JFTX, Joint Field Training Exercise
JH, Japan Highway Public Corporation
JH, Jharkhand (Indian state code)
JI, Joint Implementation
JIB, Joint Information Bureau
JIC, Joint Intelligence Centre
JINI, Java Intelligent Network Infrastructure
JITC, Joint Interoperability Test Command
JIVE, Joint Institute for VLBI (Very Long Baseline Interferometry) in Europe
JJAP, Japanese Journal of Applied Physics
JK, Jedi Knight - Just Kidding -  Spanair (IATA airline designator) - Jammu & Kashmir (Indian state code)
JL, Japan Airlines (IATA airline designator)
JLA, Justice League of America
JM, Jamaica (FIPS 10-4 country code; ISO 3166 digram)
JMD, Jamaican dollar (ISO 4217 currency code)
JMS, Java Message Service
JN, Jan Mayen Island (FIPS 10-4 territory code)
JNI, Java Native Interface
JNLP, Java Network Launch Protocol
JO, Jordan (FIPS 10-4 country code; ISO 3166 digram)
JOA,(a/i) Joint Operations Area
JOD, Jordanian dinar (ISO 4217 currency code)
Jofa," Jonssons fabriker (Swedish, ""Jonsson's Factories"")"
JOPES, Joint Operations Planning and Execution System
JOR, Jordan (ISO 3166 trigram)
JOTS, Joint Operations Tactical System
JSP, Joint Services Publication
JP, Japan (ISO 3166 digram) -  Justice of the Peace
JPEG," Joint Photographic Experts Group (""djay-peg"")"
JPL, Jet Propulsion Laboratory
jpn, Japanese language (ISO 639-2 code)
JPN, Japan (ISO 3166 trigram)
JPOW, Joint Project Optic Windmill
JPY, Japanese yen (ISO 4217 currency code)
JQ, Jetstar Airways (IATA airline designator) -  Johnny Quick -  Johnston Atoll (FIPS 10-4 territory code) -  Jonny Quest - Joshua Quagmire
JRA, Japanese Red Army - Joint Rear Area
JRDF, Joint Rapid Deployment Forces
JRE, Java Runtime Environment
JREF, James Randi Educational Foundation
JROC, Joint Requirements Oversight Council
JROCM, JROC Memorandum
JRRF, Joint Rapid Reaction Force
JRSAI,Journal of the Royal Society of Antiquaries of Ireland
JSAF," Joint Semi-Automated Forces (""jay-saff"")"
JSAP, Japan Society of Applied Physics
JSCSC, Joint Services Command and Staff College
JSD," juris scientiae doctor (Latin, ""doctor of science of law"")"
JSEAD, Joint Suppression of Enemy Air Defence (see SEAD)
JSF, Joint Strike Fighter
JSIMS, Joint Simulation System
JSOA, Joint Special Operations Area
JSOTF, Joint Special Operations Task Force
JSP, JavaServer Page
JSR, Java Specification Request
JSS, Joint Support Ship Project
JSTARS," Joint Surveillance Target Attack Radar System (""djay-starz"")"
JT, Johnston Atoll (ISO 3166 digram; obsolete 1986) -  Junior Technician (RAF)
JTAG," Joint Test Action Group (""djay-tag"")"
JTAGS," Joint Tactical Ground Station (""djay-tagz"")"
JTC, Joint Training Confederation
JTF, Joint Task Force
JTFEX, Joint Task Force Exercise
JTIDS," Joint Tactical Information Distribution System (""djay-tidz"")"
JTLS, Joint Theater Level Simulation
JTMD, Joint Theatre Missile Defence
JTN, Johnston Atoll (ISO 3166 trigram; obsolete 1986)
JTRS,"(a/i) Joint Tactical Radio System (""jitters"")"
JU, Juan de Nova Island (FIPS 10-4 territory code)
JUGFET, JUnction Gate Field-Effect Transistor
JUICE, JUpiter ICy Moon Explorer
JUO, Joint Urban Operations
jv, Javanese language (ISO 639-1 code)
JV, Joint Venture - Junior Varsity
JVM, Java Virtual Machine
JW, Jehovah's Witnesses
JWARS, Joint Warfare System (simulation)
JWP, Joint Warfare Publication
JWST, James Webb Space Telescope
JY, Japanese Yen
JZ, Joint Zone
k, Kilo-
K, Kelvin - Potassium (Latin Kalium) - Tanker (aircraft designation code)
K9, Canine Police Unit
ka, Georgian language (ISO 639-1 code)
kA, Kiloampere
Ka, Kamov Design Bureau
KA, Knowledge Acquisition -  Karnataka (Indian state code)
KAF,(i/a) Kandahar Air Field
kal, Kalaallisut language (ISO 639-2 code)
kan, Kannada language (ISO 639-2 code)
KANUKOKA," Kalaallit Nunaanni Kommunit Kattuffiannit (Kalaallisut, ""Greenlandic Communities Association"")"
KARNAC, Knowledge Aided Retrieval in Activity Context
KARR, Knight Automated Roving Robot (Knight Rider character)
kas, Kashmiri language (ISO 639-2 code)
kat, Georgian language (ISO 639-2 code)
KATUSA, Korean Augmentation To United States Army
kau, Kanuri language (ISO 639-2 code)
kaz, Kazakh language (ISO 639-2 code)
KAZ, Kazakhstan (ISO 3166 trigram)
KBE, Knight Commander of the Order of the British Empire
KBO, Kuiper Belt Object
KBVB, Koninklijke Belgische Voetbalbond (Dutch for Royal Belgian Football Association)
kC, Kilocoulomb
KCL, King's College London
KCMO," Kansas City, Missouri (pronounced ""K-C-Moe"")"
KCS, Kansas City Southern Railway (AAR reporting mark)
KD, Kawasaki Disease - Kraft Dinner
KEDO, Korean Peninsula Energy Development Organization
KEN, Kenya (ISO 3166 trigram)
KERA, Kentucky Education Reform Act (of 1990)
kerma, Kinetic Energy Released in MAterial / in MAtter / per unit MAss
KESR, Kent and East Sussex Railway.
kF, Kilofarad
KFC, Kentucky Fried Chicken
KFOR, UN Kosovo Force
KFUPM,King Fahd University of Petroleum & Minerals
kg, Kilogram - Kongo language (ISO 639-1 code)
KG, Kyrgyzstan (FIPS 10-4 country code; ISO 3166 digram)
KGB," Komitet Gosudarstvennoy Bezopasnosti (Russian ""Committee for State Security"") (1954-1991)"
KGO,Knight of the Guelphic Order of Hanover
KGS, Kyrgyz som (ISO 4217 currency code)
KGZ, Kyrgyzstan (ISO 3166 trigram)
kH, Kilohenry
KH, Cambodia (ISO 3166 digram)
khm, Khmer language (ISO 639-2 code)
KHL, Kontinental Hockey League
KHM, Cambodia (ISO 3166 trigram)
KHR, Cambodian riel (ISO 4217 currency code)
KHz, Kilohertz
ki, Gikuyu language (ISO 639-1 code)
Ki, Kibi
KI, Kiribati (ISO 3166 digram)
KIA, Killed In Action
KIDS, Knowledge-based Integrated Design System
kik," Gikuyu language (ISO 639-2 code), common typo for LOL"
kin, Kinyarwanda language (ISO 639-2 code)
kir, Kyrgyz language (ISO 639-2 code)
KIR, Kiribati (ISO 3166 trigram)
KISS," Keep It Simple, Stupid / Keep It Short and Simple - Korean Intelligence Support System"
KITECH, Korean Institute of Industrial Technology
KITT, Knight Industries Two Thousand - Knight Industries Three Thousand
KIT,Keep In Touch
kj, Kuanyama language (ISO 639-1 code)
kJ, Kilojoule
kk, Kazakh language (ISO 639-1 code)
kK, Kilokelvin
KKK, Ku Klux Klan
kl, Kalaallisut language (ISO 639-1 code)
kL, Kilolitre
KL, Kuala Lumpur -  Kerala (Indian state code)
KLENOT, KLEť Observatory Near Earth and Other unusual objects observations Team and Telescope
KLM," Koninklijke Luchtvaart Maatschappij (Dutch ""Royal Dutch Airlines"")"
KLOC, Kilo Lines Of Code
km, Khmer language (ISO 639-1 code) - Kilometre
KM, Comoros -  Knowledge Management
KMF, Comoro franc (ISO 4217 currency code)
KMFDM," Kein mitleid für die mehrheit (German ""No pity for the majority"" music band)"
KMR, Kwajalein Missile Range
kn, Kannada language (ISO 639-1 code)
kN, Kilonewton
KN, Democratic People's Republic of Korea (FIPS 10-4 country code) - Saint Kitts and Nevis (ISO 3166 digram)
KNA, Saint Kitts and Nevis (ISO 3166 trigram)
KNVB, Koninklijke Nederlandse Voetbal Bond (Dutch for Royal Dutch Football Association)
ko, Korean language (ISO 639-1 code)
KO, Knocked Out
kom, Komi language (ISO 639-2 code)
kon, Kongo language (ISO 639-2 code)
kor, Korean language (ISO 639-2 code)
KOR, Republic of Korea (ISO 3166 trigram)
KP, Kim Possible
KPMG," Klynveld, Peat, Marwick, Goerdeler"
KPNO, Kitt Peak National Observatory
KPV," Krupnokaliberniy Pulemet Vladimorova (Russian КПВТ Крупнокалиберный Пулемет Владимирова, ""Large-Calibre Machinegun Vladimirov"")[1]"
KPVT," Krupnokaliberniy Pulemet Vladimorova Tankoviy (Russian КПВТ Крупнокалиберный Пулемет Владимирова Танковый, ""Large-Calibre Machinegun Vladimirov Tank"")[2]"
KPW, North Korean won (ISO 4217 currency code)
KQ, Kenya Airways (IATA airline designator) - Kingman Reef (FIPS 10-4 territory code)
kr, Kanuri language (ISO 639-1 code)
Kr, Krypton
KR, Kiribati (FIPS 10-4 country code) - Republic of Korea (ISO 3166 digram)
KRW, South Korean won (ISO 4217 currency code)
kS, Kilosiemens
KSC, Kennedy Space Center
KSI, Killed or Seriously Injured
KSU, Kansas State University
kT, Kilotesla
KT, Christmas Island (FIPS 10-4 territory code) -  Knight of the Order of the Thistle - Knights Templar
KTS, Knight of the Tower and Sword (of Portugal)
ku, Kurdish language (ISO 639-1 code)
KU, Kuwait (FIPS 10-4 country code)
kua, Kuanyama language (ISO 639-2 code)
KUL," Katholieke Universiteit Leuven (Flemish, Catholic University of Leuven)"
kur, Kurdish language (ISO 639-2 code)
KUW," Kuwait (UNDP country code, IOC and FIFA trigram, but not ISO 3166)"
kv, Komi language (ISO 639-1 code)
kV, Kilovolt
KV, Kosovo
KV," Kavminvodyavia (IATA airline designator) -  Kendriya Vidhyalaya (Indian school) - Kliment Voroshilov (tanks) - Köchel-Verzeichnis (Mozart catalogue) - Valley of the Kings (originally ""Kings' Valley"")"
KVM," Keyboard, Video, Mouse switch"
KVT, Killer-Victim Table (military simulations)
kw, Cornish language (ISO 639-1 code)
kW, Kilowatt
KW, Kuwait (ISO 3166 digram)
KWB,Kids' WB!
KWD, Kuwaiti dinar (ISO 4217 currency code)
KWT, Kuwait (ISO 3166 trigram)
KX, Cayman Airways (IATA airline designator)
ky, Kyrgyz language (ISO 639-1 code)
KYD, Cayman Islands dollar (ISO 4217 currency code)
KZ, Kazakhstan (FIPS 10-4 country code; ISO 3166 digram)
KZN, KwaZulu-Natal
KZT, Kazakh tenge (ISO 4217 currency code)
L, Fifty (in Roman numerals) -  Label - Lap - Large - Laser (US military aircraft basic mission designation) - Latin - Left -  Litre -  Low (transmissions)
la, Latin language (ISO 639-1 code)
La, Lanthanum
LAB, Logistics Assault Base
LabVIEW, Laboratory Virtual Instrumentation Engineering Workbench
LACMA,(a/i) Los Angeles County Museum of Art
LAD, Laser Aiming Device
LADW, Local Air Defence Warning
LAESI, Local Authority & Emergency Service Information
LAK, Laotian kip (ISO 4217 currency code)
LAMP,(multiple meanings)
LAN, Local Area Network
LANL, Los Alamos National Laboratory
lao, Lao language (ISO 639-2 code)
LAO, Laos (ISO 3166 trigram)
LAPD, Los Angeles Police Department
LARC, Livermore Advanced Research Computer (cf. LLNL)
LARP, Live-Action Role-Playing
LAS," McCarran International Airport (Las Vegas, Nevada)"
Laser, Light Amplification by Stimulated Emission of Radiation (cf. Maser)
lat, Latin language (ISO 639-2 code)
LATA, Local Access Transport Area
LATCH, Lower Anchors and Tethers for Children (U.S. standard for attachment points for child safety seats in passenger cars)
lav, Latvian language (ISO 639-2 code)
LAW, Light Antitank Weapon
LB, Lebanon (ISO 3166 digram)
LBN, Lebanon (ISO 3166 trigram)
LBNL, Lawrence Berkeley National Laboratory
LBP, Lebanese pound (ISO 4217 currency code)
LBR, Liberia (ISO 3166 trigram)
LBS, Location-Based Services
lbs," pounds (plural form of lb, see above)"
LBT, Large Binocular Telescope
LBW, Leg Before Wicket
LBY, Libya (ISO 3166 trigram)
LC, Line of Contact -  Saint Lucia (ISO 3166 digram)
LCA, Saint Lucia (ISO 3166 trigram)
LCC, Land Component Commander
LCCP, Light Contingency Communications Package
LCD, Liquid Crystal Display
LCE, Leaving Certificate Examination - Load Carrying Equipment - London Commodity Exchange
LCM, Least/Lowest Common Multiple
LCol," Lieutenant-Colonel (Canada, UK)"
LCS,League of Legends Championship Series
LDA, Lateral Drift Apparatus (paratroops)
LDAP,"(a/i) Lightweight Directory Access Protocol (pronounced ""ell-dap"")"
LDC, Lesser Developing/Developed Country
LDL, Low-Density Lipoprotein
LDMOS,"(i/a) Laterally diffused MOS transistor (""ell-dee-moss"")"
LDV, Local Defence Volunteers (British Home Guard)
LDW,Lane Departure Warning (ADAS)
LE, Lebanon (FIPS 10-4 country code)
LEC, Local Exchange Carrier
LED, Light-Emitting Diode
Legs, level emotion gad speed
LEGAD, Legal Advice
LEMOSS, Long-Endurance MObile Submarine Simulator
LEN, Large Extension Node
LEO, Low Earth orbit
LEP, Large Electron-Positron collider
LER, Loss-Exchange Ratio
LEU, Low-Enriched Uranium
LF, Low Frequency
LFO, Low Frequency Oscillation / Oscillator
LFTR, Liquid fluoride thorium reactor
lg, Luganda (ISO 639-1 code)
LG, Latvia (FIPS 10-4 country code)
LGBT," Lesbian, Gay, Bisexual, Transgender"
LGLO," Love God, Love Others"
LGM, Little Green Men
LGS, Landsat Ground Station
LH, Lithuania (FIPS 10-4 country code) -  Luteinising Hormone
LHC, Large Hadron Collider
LHS, Left Hand Side
li, Limburgish language (ISO 639-1 code)
Li, Lithium
LI, Fifty-one (in Roman numerals) -  Liberia (FIPS 10-4 country code) - Liechtenstein (ISO 3166 digram)
LIBOR, London Interbank Offered Rate
LIBS, Laser Induced Breakdown Spectroscopy
LIE, Liechtenstein (ISO 3166 trigram)
LIFO," Last In, First Out"
LIGO, Laser Interferometer Gravitational-Wave Observatory
lim, Limburgish language (ISO 639-2 code)
lin, Lingala language (ISO 639-2 code)
LINEAR, Lincoln Near-Earth Asteroid Research
LISA, Laser Interferometer Space Antenna
lit, Lithuanian language (ISO 639-2 code)
LITAS, Low Intensity Two Colour Approach System (aviation)
LIVE, Liquid Inertial Vibration Eliminator
LJJ, Lord Justices of Appeal
LK, Sri Lanka (ISO 3166 digram)
LKA, Sri Lanka (ISO 3166 trigram)
LKL," Lietuvos krepšinio lyga (Lithuanian, ""Lithuanian Basketball League"")"
LKR, Sri Lanka rupee (ISO 4217 currency code)
LKR4, Linkwitz-Riley 4th order (audio crossover type)
LL, Land Line (telephone) - Last Log - Late Latin - Left Limit - Lex Luthor (Superman character) - Light Line - Limited Liability - Linked List - Little League
LLAD, Low Level Air Defence
LLB, Legum Baccalaureus (Latin: Bachelor of Laws)
LLC, Limited Liability Company
LLGC, Llyfrgell Genedlaethol Cymru (National Library of Wales) - London Lesbian and Gay Centre
LLLTV, Low-Light Level Television
LLNL, Lawrence Livermore National Laboratory
LLP, Limited Liability Partnership
LLTI, Limiting Long-Term Illness - Long Lead Time Item
LLTR, Low-Level Transit Route
LMAO, Laughing My Ass Off (Internet shorthand)
LMFAO," Laughing My F**king Ass Off (Internet shorthand, electro-hop duo)"
LMB, Lick My Balls
LMN,(a/i) Lifetime Movie Network
LMS," London Mathematical Society - London, Midland and Scottish (Railway)"
LMS, Like My Status (Internet shorthand)
LMV,() Light Motor Vehicle
LNER, London and North Eastern Railway
LNG, Liquefied Natural Gas
LNO, Liaison Officer
LNR," Ligue Nationale de Rugby (French, ""National Rugby League"")"
lo, Lao language (ISO 639-1 code)
LO, Slovakia (FIPS 10-4 country code)
LOA, Limit Of Advance
LOC,(a/i) Level of Operational Capability - Limited Operational Capability - Lines Of Code - Lines Of Communication - see entry
LOD,Limit of Detection - see Detection limit
LoD, Lines of Development (UK)
LOFAR, Low Frequency Analysis and Recording
LOGPAC, Logistics Package
LOL, Laughing Out Loud (Internet shorthand)
LOMEZ, Low Altitude Missile Engagement Zone
LONEOS, Lowell Observatory Near-Earth-Object Search
LOOGY,"(p/a) Lefty One-Out GuY, a sometimes pejorative nickname for the left-handed specialist in baseball"
loq," loquitur (Latin, "" he speaks"")"
LORTID, LOng Range Target IDentification
LOS, Line Of Sight
LOSAT, Line-Of-Sight Anti-Tank (missile)
LOTA, Licentiate of the Orthodontic Technicians Association
LOTIS, Livermore Optical Transient Imaging System
LOTS, Logistics Over-The-Shore
LP, Linkin Park - Linkup Point - Listening Post - Long Playing record - Louisiana Pacific (cf. LP Field)
LPC, Linear Predictive Coding
LPD, Landing Platform Dock (Navy hull classification) - Low Probability of Detection
LPG, Liquefied Petroleum Gas (cf. LNG)
LPI, Low Probability of Intercept
LPS, Landsat Processing System -  LipoPolySaccharide
LQ, Palmyra Atoll (FIPS 10-4 territory code)
Lr, Lawrencium
LR, Liberia (ISO 3166 digram)
LRAD," Long Range Acoustic Device (""ell-rad"")"
LRC, Logistics iness Center
LRD, Liberian dollar (ISO 4217 currency code)
LRF, Laser rangefinder -  Low iness Forces
LRGW, Long-Range Guided Weapon
LRICBM, Limited Range ICBM
LRIP, Low Rate Initial Production
LRP, Logistics Release Point
LRPE, Long-Range Planning Element
LRS, Long Range Surveillance
LRU, Line-Replaceable Unit
LSAT," Law School Admission Test (often pronounced as ""el-SAT"")"
LSI, Large-Scale Integration
LSIF, Labour Sponsored Investment Fund
LSL, Lesotho loti (ISO 4217 currency code)
LSND, Liquid Scintillator Neutrino Detector
LSO, Lesotho (ISO 3166 trigram)
LSST, Large Synoptic Survey Telescope
LST," Landing Ship, Tank (World War II; also known, not entirely affectionately, as ""Large Slow Target"")"
LSVW," Light Support Vehicle, Wheeled"
lt, Lithuanian language (ISO 639-1 code)
Lt, Lieutenant
LtC, Lieutenant-Colonel (U.S.)
LT, Lesotho (FIPS 10-4 country code) - Lithuania (ISO 3166 digram)
LTC, Long-Term Costing
Ltd, Limited
LTDP, Long-Term Defence Plan
LTG, Lieutenant General -  Lightning (METAR Code)
LTI, Linear Time-Invariant
LTM,Acronym for Laughing To Myself
LTL, Lithuanian litas (ISO 4217 currency code)
LTP, Long-Term Potentiation
LTU, Lithuania (ISO 3166 trigram)
ltz, Luxembourgish language (ISO 639-2 code)
lu, Tshiluba language (ISO 639-1 code)
Lu, Lutetium
LU, Acronym Love You
LU,Loonatics Unleashed
lub, Tshiluba language (ISO 639-2 code)
LUCA, Last Universal Common Ancestor
lug, Luganda (ISO 639-2 code)
LUG, Linux User Group
LULU, Locally Unwanted Land Use (urbanism)
LUT, Limited User Test (ing) - Local User Terminal
LUVW," Light Utility Vehicle, Wheeled"
LUX, Luxembourg (ISO 3166 trigram)
lv, Latvian language (ISO 639-1 code)
LVA, Latvia (ISO 3166 trigram)
LVEF, Left Ventricular Ejection Fraction
LVL, Latvian lats (ISO 4217 currency code)
Lw, Lawrencium (obsolete 1963)
LW, Land Warrior - Low Water (nautical charts)
LWR, Laser warning receiver
LWRC, Land Warfare Resources Corporation
LWS, Land Warrior System
LX, Luxembourg (amateur radio ITU prefix) - Swiss International Air Lines (IATA code)
LX, Electrics (theatrical term)
LY, Libya (FIPS 10-4 country code; ISO 3166 digram) - Lithuania (amateur radio ITU prefix)
LYAO,Laugh Your Ass Off
LYD, Libyan dinar (ISO 4217 currency code)
LYLAS, Love You Like A Sister
LZ, Bulgaria (amateur radio ITU prefix) -  Landing Zone
m, Metre - Milli
M, Mega- - One thousand (in Roman numerals)
mA, Milliampere
Ma, Megaannum
MAA, Mathematical Association of America
MAAC, Metro Atlantic Athletic Conference
MACA, Military Aid to the Civil Authorities
MACE, Multi-Agent Computing Environment
MACHO, MAssive Compact Halo Object
MAF, Maintenance Action Form
MAFF," Ministry of Agriculture, Forestry and Fisheries (various countries)"
MAGIC, Major Atmospheric Gamma-ray Imaging Cherenkov (telescope)
MAGNETAR, Metaprogrammable AGent NETwork ARchitecture
MAGTF, Marine Air-Ground Task Force
mah, Marshallese language (ISO 639-2 code)
Mahasz," Magyar Hanglemezkiadók Szövetsége (Hungarian, ""Association of Hungarian Record Companies"")"
mal, Malayalam language (ISO 639-2 code)
MALD, Miniature Air-Launched Decoy
MANPADS, MAN-Portable Air Defence System
MANPRINT, MANpower and PeRsonnel INTegration
MAOI, Monoamine oxidase inhibitor
MAPS, Monitoring Avian Productivity and Survivorship
MAQS," Museum of the American Quilter's Society (""max"")"
mar, Marathi language (ISO 639-2 code)
MAR, Morocco (ISO 3166 trigram)
MarBEF, Marine Biodiversity and Ecosystem Functioning
MARCENT, United States Marine Forces Central Command
MARFORCC, Marine Force Component Commander
MARRS," Martyn Young, Alex Ayuli, Rudy Tambala, Russell Smith, and Steve Young (British electronic music act)"
MAS, NATO Military Agency for Standardization
MASAS, Monte Agliale Supernovae and Asteroid Survey
Maser, Microwave Amplification by Stimulated Emission of Radiation
MASH, Mobile Army Surgical Hospital
MASINT, Measurement And Signature Intelligence
MATREX," Modeling Architecture for Technology, Research & EXperimentation"
MATS, U.S. Military Air Transport Service (1948-1966)
MAVS,(a/i) Mobile Artillery Vehicle System
MAW," Malawi (IOC trigram, but not FIFA or ISO 3166)"
MAX," Meta-reasoning Architecture for ""X"""
MB, Manitoba (postal symbol) - Martinique (FIPS 10-4 territory code) - Medal of Bravery (Canada)
MBA, Main Battle Area - Main Belt Asteroid - Masters of Business Administration
MBI, Moody Bible Institute
MBBL, (U.S. Armor Center) Mounted Battlespace Battle Laboratory
MBCC, Migratory Bird Conservation Commission (U.S.)
MBCS, Multi-Byte Character Set
MBE, Member of the Order of the British Empire -  Multistate Bar Examination (U.S.)
MBIDST, Member of the British Institute of Dental and Surgical Technologists
MBM, Meat and Bone Meal
mbsf,"metres below sea floor,[1][2] a depth convention used in paleontology and oceanography"
MBT, Main Battle Tank
MBTA, Massachusetts Bay Transportation Authority - Migratory Bird Treaty Act (U.S.)
MBTI, Myers-Briggs Type Indicator
mC, Millicoulomb
MCDL, Model Composition Definition Language
MCFT, Modified Compression Field Theory
MCG, Melbourne Cricket Ground
MCI," Microwave Communications, Inc."
MCIS, Mellon Collie and the Infinite Sadness
MCM, Mine Counter-Measures
MCMV, Mine Counter-Measure Vessel
MCR, My Chemical Romance
MCSF, Marine Corps Security Forces
MCT, Movement Control Team
MCTIS, Mounted Co-operative Target Identification System
Md, Mendelevium
"MDA- Main Defensive Action/Area, Moldova (ISO 3166 trigram)",Muscular Dystrophy Association
MDL, Moldovan leu (ISO 4217 currency code)
MDMA," MethyleneDioxy-MethylAmphetamine (also known as ""Ecstasy"")"
MDNA, Madonna's 12th studio album title (2012)
MDO, Membership Driven Organisation
MDP, Markov Decision Process
MDT, Mountain Daylight Time (UTC-6 hours)
MDV, Maldives (ISO 3166 trigram)
Me, Messerschmitt
ME, Maine (postal symbol) -  Mechanical engineer[ing] - Medical examiner - Middle East -  Middle East Airlines (IATA code) -  Memory Effect - Myalgic Encephalomyelitis
MEA, Maine Educational Assessment - Middle East Airlines - Millennium Ecosystem Assessment - Minimum en route altitude - Mono-ethanol Amine - Multilateral Environmental Agreement
MEAC, Mid-Eastern Athletic Conference (ME-ac)
MECC," Minnesota Educational Computing Consortium (later Corporation, dissolved 1999)"
MECCA," Milwaukee Exposition Convention Center and Arena, a former name for the sports venue now known as UW-Milwaukee Panther Arena"
MECO, Main engine cutoff (NASA code for point in Space Shuttle assent when three main engines are shut down prior to External Tank (ET) separation)
MEDEVAC, Medical evacuation
MEDLI," Mars Science Laboratory Entry, Descent, and Landing Instrumentation -  Medical & Scientific Libraries of Long Island -  Model for Effluent Disposal using Land Irrigation"
MEDS, Mission Essential Data Set
MEF, U.S. Marine Expeditionary Force - Minimum essential facility - Mission essential force
MEG, MagnetoEncephaloGraphy
MEI," Matsushita Electric Industrial Co., Ltd."
MEK, Magyar Elektronikus Konyvtar - Message encryption key - Methyl ethyl ketone -  Mujahideen al-Khalq
MEL, Maya Embedded Language - Michigan Electronic Library
MELT, Metallic Line/Loop Test (ing)
MEM, Message Exchange Mechanism -  Microelectromechanical
MEMS, Microelectromechanical System
MEO, Medium earth orbit - Most efficient organization
MEP," Mechanical Electrical Plumbing - Member of the European Parliament - Missions étrangères de Paris (French for ""Paris Foreign Missions"") - Model European Parliament"
MER, Mars Exploration Rover
MERL, Mitsubishi Electric Research Laboratories
MES, Marconi Electronic Systems - Medium Edison screw
MESSENGER," MErcury Surface, Space ENvironment, GEochemistry and Ranging"
MET, Meteorological -  Middle European Time
METAR, [Meteorological] Aviation Routine weather report
METL,"(i/a) Mission Essential Task List (""mettle"")"
METOC, Meteorological and Oceanographic
MEU, U.S. Marine Expeditionary Unit - Maximum Expected Utility
MeV, Megaelectronvolt
MEV, Medical Evacuation Vehicle - Musica Elettronica Viva
MEX, Mexico (ISO 3166 trigram)
MEZ, Missile Engagement Zone
MES, Manufacturing Execution Systems
mF, Millifarad
MF, Mayotte (FIPS 10-4 territory code) - Megafarad
MFSB," Mother, Father, Sister, Brother (1970s Philadelphia studio musicians collective)"
mg, Malagasy language (ISO 639-1 code) - Milligram
Mg, Magnesium - Megagram
MG, Machine Gun -  Madagascar (ISO 3166 digram) -  Major General -  Mongolia (FIPS 10-4 country code) -  Morris Garage
MGA, Malagasy ariary (ISO 4217 currency code)
MGB," Medium Girder Bridge, Motor Gun Boat"
MGM," Metro Goldwyn Mayer -  Montgomery, Alabama (Airport Code)"
MGPAM,My Gym Partner's a Monkey
MGS, Mobile Gun System
mh, Marshallese language (ISO 639-1 code)
mH, Millihenry
MH, Marshall Islands (postal symbol; ISO 3166 digram) - Megahenry - Montserrat (FIPS 10-4 territory code)
MHC, Major Histocompatibility Complex
MHHW, Mean Higher High Water (nautical charts)
MHL, Marshall Islands (ISO 3166 trigram)
MHLW, Mean Higher Low Water (nautical charts)
MHRA, (UK) Medicines and Healthcare products Regulatory Agency
MHW, Mean High Water (nautical charts)
MHWN, Mean High Water Neaps (nautical charts)
MHWS, Mean High Water Springs (nautical charts)
MHz, Megahertz
mi, Māori language (ISO 639-1 code)
Mi, Mebi
MIA, Missing In Action
MIC, Military Industrial Complex
MICLIC, Mine Clearing Line Charge
MICOM, Missile Command
MICV, Mechanised Infantry Combat Vehicle
